X,name,handedness,height,weight,avg,HR,HR_normalized,avg_normalized
1,Tom Brown,R,73,170,0,0,0,0
2,Denny Lemaster,R,73,182,0.13,4,0.00710479573712256,0.396341463414634
3,Joe Nolan,L,71,175,0.263,27,0.0479573712255773,0.801829268292683
4,Denny Doyle,L,69,175,0.25,16,0.0284191829484902,0.76219512195122
5,Jose Cardenal,R,70,150,0.275,138,0.245115452930728,0.838414634146342
6,Mike Ryan,R,74,205,0.193,28,0.0497335701598579,0.588414634146341
7,Fritz Peterson,B,72,185,0.159,2,0.00355239786856128,0.484756097560976
8,Dick Bertell,R,72,200,0.25,10,0.0177619893428064,0.76219512195122
9,Rod Kanehl,R,73,180,0.241,6,0.0106571936056838,0.734756097560976
10,Ozzie Osborn,R,74,195,0,0,0,0
11,John LaRose,L,73,185,0,0,0,0
12,Jeff Byrd,R,75,195,0,0,0,0
13,Juan Bonilla,R,69,170,0.256,7,0.0124333925399645,0.780487804878049
14,Frank Tepedino,L,71,185,0.241,6,0.0106571936056838,0.734756097560976
15,Jerry Kutzler,L,73,175,0,0,0,0
16,Rick Wise,R,73,180,0.195,15,0.0266429840142096,0.594512195121951
17,Darrell Evans,L,74,200,0.248,414,0.735346358792185,0.75609756097561
18,Buck Martinez,R,70,190,0.225,58,0.103019538188277,0.685975609756098
19,John Wockenfuss,R,72,190,0.262,86,0.152753108348135,0.798780487804878
20,Tommy McCraw,L,72,183,0.246,75,0.133214920071048,0.75
21,Jeff Barkley,B,75,185,0,0,0,0
22,Eric Wilkins,R,73,190,0,0,0,0
23,Britt Burns,L,77,215,0,0,0,0
24,Lee Lacy,R,73,175,0.286,91,0.161634103019538,0.871951219512195
25,Pete Rose,B,71,192,0.303,160,0.284191829484902,0.923780487804878
26,Danny Walton,R,72,195,0.223,28,0.0497335701598579,0.679878048780488
27,Bobby Cox,R,71,180,0.225,9,0.0159857904085258,0.685975609756098
28,Brad Wellman,R,72,170,0.231,6,0.0106571936056838,0.704268292682927
29,Jeff Newman,R,74,215,0.224,63,0.11190053285968,0.682926829268293
30,Pedro Gonzalez,R,72,176,0.244,8,0.0142095914742451,0.74390243902439
31,Nardi Contreras,B,74,193,0,0,0,0
32,Tommie Reynolds,R,74,190,0.226,12,0.0213143872113677,0.689024390243902
33,Gene Clines,R,69,170,0.277,5,0.0088809946714032,0.844512195121951
34,Jim Hickman,R,75,192,0.252,159,0.282415630550622,0.768292682926829
35,Jack Billingham,R,76,195,0.111,0,0,0.338414634146341
36,Jerry Buchek,R,71,185,0.22,22,0.0390763765541741,0.670731707317073
37,Ivan DeJesus,R,71,175,0.254,21,0.0373001776198934,0.774390243902439
38,Gary Nolan,R,74,197,0.138,1,0.00177619893428064,0.420731707317073
39,Gil Patterson,R,73,185,0,0,0,0
40,Fred Whitfield,L,73,190,0.253,108,0.191829484902309,0.771341463414634
41,Larry Dierker,R,76,215,0.136,4,0.00710479573712256,0.414634146341463
42,Dave Skaggs,R,74,200,0.241,3,0.00532859680284192,0.734756097560976
43,Dick Ruthven,R,75,190,0.183,1,0.00177619893428064,0.557926829268293
44,Jerry Garvin,L,75,195,0,0,0,0
45,Steve Eddy,R,74,185,0,0,0,0
46,Dave Kingman,R,78,210,0.236,442,0.785079928952043,0.719512195121951
47,Eric Soderholm,R,71,187,0.264,102,0.181172291296625,0.804878048780488
48,Kevin Mmahat,L,77,220,0,0,0,0
49,Ed Brinkman,R,72,170,0.224,60,0.106571936056838,0.682926829268293
50,Wayne Garrett,L,71,175,0.239,61,0.108348134991119,0.728658536585366
51,Tony Muser,L,74,180,0.259,7,0.0124333925399645,0.789634146341463
52,Jim Siwy,R,76,200,0,0,0,0
53,Bud Anderson,R,75,210,0,0,0,0
54,Ted Ford,R,70,180,0.219,17,0.0301953818827709,0.667682926829268
55,Kevin Stanfield,L,72,190,0,0,0,0
56,Jim Lyttle,L,72,180,0.248,9,0.0159857904085258,0.75609756097561
57,John Butcher,R,76,185,0,0,0,0
58,Jerry Ujdur,R,73,195,0,0,0,0
59,Scot Thompson,L,75,195,0.262,5,0.0088809946714032,0.798780487804878
60,Gene Locklear,L,70,165,0.274,9,0.0159857904085258,0.835365853658537
61,Bo Diaz,R,71,185,0.255,87,0.154529307282416,0.777439024390244
62,Bump Wills,B,69,172,0.266,36,0.063943161634103,0.810975609756098
63,Brian Denman,R,76,205,0,0,0,0
64,Pat Putnam,L,72,205,0.255,63,0.11190053285968,0.777439024390244
65,Kurt Bevacqua,R,72,180,0.236,27,0.0479573712255773,0.719512195121951
66,Bob Fallon,L,75,200,0,0,0,0
67,Syd O'Brien,R,73,185,0.23,24,0.0426287744227353,0.701219512195122
68,Chris Chambliss,L,73,195,0.279,185,0.328596802841918,0.850609756097561
69,Tom Satriano,L,73,185,0.225,21,0.0373001776198934,0.685975609756098
70,Jeffrey Leonard,R,74,200,0.266,144,0.255772646536412,0.810975609756098
71,Dal Maxvill,R,71,157,0.217,6,0.0106571936056838,0.661585365853658
72,Steve Curry,R,78,217,0,0,0,0
73,Cesar Tovar,R,69,155,0.278,46,0.0817051509769094,0.847560975609756
74,Mickey Lolich,B,73,170,0.11,0,0,0.335365853658537
75,Ray Chadwick,B,74,180,0,0,0,0
76,Jack Heidemann,R,72,175,0.211,9,0.0159857904085258,0.643292682926829
77,Rich Rollins,R,70,185,0.269,77,0.136767317939609,0.820121951219512
78,Walt Bond,L,79,228,0.256,41,0.0728241563055062,0.780487804878049
79,Merv Rettenmund,R,70,190,0.271,66,0.117229129662522,0.826219512195122
80,Bryan Clutterbuck,R,76,223,0,0,0,0
81,Byron Browne,R,74,190,0.236,30,0.0532859680284192,0.719512195121951
82,Hector Torres,R,72,175,0.216,18,0.0319715808170515,0.658536585365854
83,Walt Williams,R,66,165,0.27,33,0.0586145648312611,0.823170731707317
84,Jerry Koosman,R,74,205,0.119,2,0.00355239786856128,0.36280487804878
85,Steve Lombardozzi,R,72,175,0.233,20,0.0355239786856128,0.710365853658537
86,Joe Azcue,R,72,190,0.252,50,0.088809946714032,0.768292682926829
87,Elliott Maddox,R,71,180,0.261,18,0.0319715808170515,0.795731707317073
88,Omar Moreno,L,74,180,0.252,37,0.0657193605683837,0.768292682926829
89,Julian Javier,R,73,175,0.257,78,0.13854351687389,0.783536585365854
90,Tony Ferreira,L,73,160,0,0,0,0
91,Elio Chacon,R,69,160,0.232,4,0.00710479573712256,0.707317073170732
92,Rusty Torres,B,70,175,0.212,35,0.0621669626998224,0.646341463414634
93,John Stearns,R,72,185,0.26,46,0.0817051509769094,0.792682926829268
94,Larry Brown,R,70,160,0.233,47,0.0834813499111901,0.710365853658537
95,Tommy Dean,R,72,165,0.18,4,0.00710479573712256,0.548780487804878
96,Bryan Oelkers,L,75,192,0,0,0,0
97,Kevin Bearse,L,74,195,0,0,0,0
98,Marty Martinez,B,72,170,0.243,0,0,0.740853658536585
99,Bruce Boisclair,L,74,185,0.263,10,0.0177619893428064,0.801829268292683
100,Ken Singleton,B,76,210,0.282,246,0.436944937833037,0.859756097560975
101,Frank White,R,71,165,0.255,160,0.284191829484902,0.777439024390244
102,Jim Fairey,L,70,190,0.235,7,0.0124333925399645,0.716463414634146
103,Jose Roman,R,72,175,0,0,0,0
104,Tom Brookens,R,70,165,0.246,71,0.126110124333925,0.75
105,Gary Thomasson,L,73,180,0.249,61,0.108348134991119,0.759146341463415
106,Mike Trujillo,R,73,180,0,0,0,0
107,Albert Williams,R,76,190,0,0,0,0
108,Oswaldo Peraza,R,76,172,0,0,0,0
109,Otto Velez,R,72,170,0.251,78,0.13854351687389,0.765243902439024
110,Tony Scott,B,72,164,0.249,17,0.0301953818827709,0.759146341463415
111,Ray Oyler,R,71,165,0.175,15,0.0266429840142096,0.533536585365854
112,Barry Cort,R,77,210,0,0,0,0
113,Floyd Robinson,L,69,175,0.283,67,0.119005328596803,0.86280487804878
114,Steve Jeltz,B,71,180,0.21,5,0.0088809946714032,0.640243902439024
115,Lou Brock,L,71,170,0.293,149,0.264653641207815,0.893292682926829
116,Bill Wilkinson,R,70,160,0,0,0,0
117,Joe Lovitto,B,72,185,0.216,4,0.00710479573712256,0.658536585365854
118,Mike Loynd,R,76,210,0,0,0,0
119,Wayne Comer,R,70,175,0.229,16,0.0284191829484902,0.698170731707317
120,Dave Collins,B,71,175,0.272,32,0.0568383658969805,0.829268292682927
121,Ed Spiezio,R,71,180,0.238,39,0.0692717584369449,0.725609756097561
122,Rico Petrocelli,R,72,175,0.251,210,0.373001776198934,0.765243902439024
123,Johnny Lewis,L,73,189,0.227,22,0.0390763765541741,0.692073170731707
